text,intent
หวัดดี,greeting
สวัสดีครับ,greeting
สวัสดีค่า,greeting
ดีจ้า,greeting
ดีค้าบ,greeting
ฮัลโหล,greeting
ทักค้าบ,greeting
โย่วว่าไง,greeting
ไงมึง,greeting
ว่าไงแก,greeting
ดีงับ,greeting
เฮลโหลล,greeting
ฮายย,greeting
ดีค่าแม่,greeting
สวัสดีชาวโลก,greeting
มาแล้วจ้า,greeting
ทักนะคับ,greeting
หวัดดีน้า,greeting
ดีตอนเช้า,greeting
มอนิ่งค้าบ,greeting
เฮ้ยดี,greeting
ไฮทุกคน,greeting
ฮายแก,greeting
สวัสดีงับ,greeting
ดีจังที่เจอ,greeting
โอ้โหใครมา,greeting
หวัดดีนะ,greeting
ดีครับผม,greeting
ดีค่าา,greeting
สวัสดีค้าบทุกคน,greeting
ดีนะหล่อน,greeting
ไงตัวแม่,greeting
ว่าไงคุณน้า,greeting
ฮายจึ้งๆ,greeting
ดีมากแม่,greeting
สวัสดีแบบเริ่ด,greeting
ทักทายค่า,greeting
ดีเว่อร์,greeting
ฮัลโหลมีใครอยู่ไหม,greeting
เห้ยว่าไง,greeting
สวัสดียามบ่าย,greeting
ดีตอนดึก,greeting
หวัดดีเฟรนด์,greeting
ไงเพื่อน,greeting
ดีครัช,greeting
สวัสดีจ้าา,greeting
ทักฮะ,greeting
มึงอยู่ปะหวัดดี,greeting
ว่าไงไอ้ตัวแสบ,greeting
สวัสดีแบบไม่เป็นทางการ,greeting
ทำไรอยู่,daily_question
ทำไรอยู่อะ,daily_question
กินข้าวยัง,daily_question
กินไรยัง,daily_question
ถึงบ้านยัง,daily_question
กลับถึงบ้านยัง,daily_question
นอนยัง,daily_question
ตื่นยัง,daily_question
เลิกงานยัง,daily_question
อยู่ไหนอะ,daily_question
วันนี้กินอะไร,daily_question
มึงทำไรอยู่,daily_question
อาบน้ำยัง,daily_question
ขับรถอยู่ปะ,daily_question
ออกจากบ้านยัง,daily_question
กลับกี่โมง,daily_question
เรียนเสร็จยัง,daily_question
ประชุมเสร็จยัง,daily_question
งานยุ่งอยู่ไหม,daily_question
ว่างอยู่ปะ,daily_question
ดูไรอยู่,daily_question
เล่นเกมอยู่หรอ,daily_question
ฟังเพลงอะไรอยู่,daily_question
กินข้าวกับไร,daily_question
หิวไหมตอนนี้,daily_question
ถึงหอยัง,daily_question
ถึงคอนโดยัง,daily_question
ขึ้นรถยัง,daily_question
รอรถอยู่ปะ,daily_question
ไปไหนมา,daily_question
ทำงานอยู่หรอคับ,daily_question
วันนี้เลิกกี่โมง,daily_question
กินน้ำยัง,daily_question
พักเที่ยงยัง,daily_question
ออกเวรยัง,daily_question
เปิดคอมอยู่ไหม,daily_question
มึงนอนรึยัง,daily_question
ตอนนี้อยู่บ้านปะ,daily_question
ได้กินกาแฟยัง,daily_question
กำลังทำอะไรอยู่งับ,daily_question
ถึงแล้วบอกด้วยนะ,daily_question
กลับห้องยังแก,daily_question
กินข้าวยังจ๊ะตัวแม่,daily_question
ทำไรอยู่คะหล่อน,daily_question
แต่งตัวเสร็จยัง,daily_question
ชาร์จแบตยัง,daily_question
ล้างหน้าแปรงฟันยัง,daily_question
วันนี้ไปทำงานไหม,daily_question
ถึงที่ทำงานยัง,daily_question
ตอนนี้สะดวกคุยไหม,daily_question
เป็นไงบ้าง,ask_status
ช่วงนี้เป็นไง,ask_status
โอเคไหม,ask_status
ไหวไหม,ask_status
เหนื่อยไหม,ask_status
สบายดีไหม,ask_status
วันนี้โอเคปะ,ask_status
มึงโอเคป่าว,ask_status
ช่วงนี้เหนื่อยมากไหม,ask_status
ใจเป็นไงบ้าง,ask_status
ยังไหวอยู่ไหม,ask_status
งานหนักไหมช่วงนี้,ask_status
ชีวิตช่วงนี้เป็นไง,ask_status
นอยอยู่หรอ,ask_status
เครียดไหม,ask_status
ดีขึ้นยัง,ask_status
หายเศร้ายัง,ask_status
เป็นไรป่าว,ask_status
ดูเงียบๆนะโอเคไหม,ask_status
วันนี้อารมณ์ดีไหม,ask_status
สุขภาพเป็นไงบ้าง,ask_status
ช่วงนี้นอนพอไหม,ask_status
เหนื่อยมากปะมึง,ask_status
ยังโอเคใช่ไหม,ask_status
เป็นไงบ้างงับ,ask_status
วันนี้เจออะไรแย่ไหม,ask_status
มีเรื่องอะไรไม่สบายใจปะ,ask_status
ช่วงนี้ใจฟูไหม,ask_status
นอยอ่าาเป็นไร,ask_status
หมดไฟปะช่วงนี้,ask_status
ยังยิ้มได้อยู่ไหม,ask_status
ไหวมั้ยคับ,ask_status
มึงดูแปลกๆโอเคปะ,ask_status
สภาพตอนนี้กี่เปอร์เซ็น,ask_status
วันนี้รอดไหม,ask_status
เป็นไงบ้างแม่,ask_status
ช่วงนี้ปังหรือพัง,ask_status
ใจยังจึ้งอยู่ไหม,ask_status
โอเคมั้ยหล่อน,ask_status
เหนื่อยก็พักนะไหวป่าว,ask_status
ชีวิตตอนนี้ฉ่ำไหม,ask_status
ช่วงนี้โดนอะไรมาไหม,ask_status
มึงไหวแน่นะ,ask_status
ยังดีอยู่ปะ,ask_status
วันนี้เหนื่อยแค่ไหน,ask_status
อาการเป็นไงบ้าง,ask_status
ฟีลช่วงนี้เป็นไง,ask_status
ยังโอเครึเปล่า,ask_status
ทำไมดูนอยๆอะ,ask_status
มีอะไรอยากเล่าไหม,ask_status
น่ารักจัง,compliment
วันนี้สวยมาก,compliment
หล่อขึ้นนะ,compliment
เก่งมากเลย,compliment
สุดยอดมาก,compliment
ทำดีมาก,compliment
โคตรเท่,compliment
ปังมากแม่,compliment
จึ้งมาก,compliment
เริ่ดเว่อร์,compliment
สับมากหล่อน,compliment
ตัวแม่มาก,compliment
มงลงแล้ว,compliment
ชีเสิร์ฟสุด,compliment
ทำถึงมาก,compliment
หน้าดีมากอะ,compliment
เสียงเพราะจัง,compliment
แต่งตัวโคตรดี,compliment
รูปนี้ดีมาก,compliment
ยิ้มแล้วน่ารัก,compliment
โหเก่งสัส,compliment
งานนี้ปังไม่ไหว,compliment
มึงแม่งเก่งจริง,compliment
น่ารักแบบตะโกน,compliment
หล่อแบบไม่พัก,compliment
สวยแบบฉ่ำ,compliment
เท่มากคับ,compliment
ดีงามพระรามแปด,compliment
โคตรภูมิใจในตัวมึง,compliment
เก่งอะยอม,compliment
พูดดีมากเลย,compliment
คิดได้ดีมาก,compliment
ทำงานไวมาก,compliment
หัวดีมากนะ,compliment
ใจดีจัง,compliment
น่ารักที่สุดเลยงับ,compliment
วันนี้ออร่ามาก,compliment
ชุดนี้เข้ากับเธอมาก,compliment
หน้าเด็กมาก,compliment
เก่งเกินเบอร์,compliment
แม่งโคตรมีเสน่ห์,compliment
น่ารักจนหงุดหงิด,compliment
จริตดีมากแม่,compliment
สวยแบบตัวมัม,compliment
หล่อฉ่ำเวอร์,compliment
งานละเอียดมาก,compliment
คอนเทนต์นี้ปัง,compliment
ไอเดียดีมาก,compliment
เสียงหัวเราะน่ารัก,compliment
เก่งจนอยากปรบมือ,compliment
คิดถึงนะ,flirt
อยากเจอจัง,flirt
คุยด้วยแล้วใจฟู,flirt
วันนี้คิดถึงเธอทั้งวัน,flirt
เป็นห่วงนะ,flirt
อยากคุยกับเธอ,flirt
เห็นชื่อแล้วใจสั่น,flirt
ฝันถึงด้วยแหละ,flirt
อยากอยู่ข้างๆ,flirt
ถ้าได้เจอคงดี,flirt
เธอน่ารักจนเราเสียอาการ,flirt
ชอบคุยกับเธออะ,flirt
คิดถึงแบบไม่ไหว,flirt
อยากกอดจัง,flirt
วันนี้ขอคุยด้วยได้ไหม,flirt
เธอทำให้วันแย่ๆดีขึ้น,flirt
ใจมันไปหาเธออีกแล้ว,flirt
มึงน่ารักจนกูแพ้,flirt
อยากเป็นคนที่เธอทักหา,flirt
หายไปแป๊บเดียวก็คิดถึง,flirt
อยากชวนคุยทั้งคืน,flirt
เธอแม่งมีผลต่อใจ,flirt
คิดถึงนะคับคนดี,flirt
อยากเจอหน้าแล้ว,flirt
คุยกับเธอแล้วไม่เบื่อเลย,flirt
ชอบเวลาที่เธอเล่าให้ฟัง,flirt
อยากเป็นคนโปรดของเธอ,flirt
ถ้าเธอว่างเราขออยู่ในใจได้ปะ,flirt
ใจบางหมดแล้ว,flirt
เธอคือความน่ารักของวันนี้,flirt
ได้คุยกับเธอคือจึ้งสุด,flirt
คิดถึงแบบตัวแม่คิดถึง,flirt
อยากโดนเธอใส่ใจบ้าง,flirt
ไม่ได้อ่อยแค่พูดจริง,flirt
ชอบเธอนิดนึงแต่คิดถึงเยอะ,flirt
แค่เธอทักมาก็ยิ้มแล้ว,flirt
ขอจีบได้ไหมไม่ดุใช่ปะ,flirt
ถ้าคืนนี้เหงาทักเรานะ,flirt
เป็นห่วงโคตรๆเลย,flirt
เธอพักบ้างนะคนเก่ง,flirt
อยากดูแลบ้างได้ไหม,flirt
มึงอย่าน่ารักมากกูรับไม่ไหว,flirt
คิดถึงแบบตะโกน,flirt
อยากโทรหาเธอจัง,flirt
เธอทำตัวน่ารักอีกแล้วนะ,flirt
ชอบรอยยิ้มเธอจัง,flirt
ขอเป็นคนที่ทำให้เธอยิ้มได้ไหม,flirt
ถ้าเธอเหนื่อยมาอ้อนเราได้,flirt
ไม่ได้หยอดแต่ตั้งใจพูด,flirt
คุยกับเธอแล้วโลกมันเบาลง,flirt
ไปกินข้าวกันไหม,invite
ว่างไหมไปเดินเล่นกัน,invite
คืนนี้ไปดูหนังกันปะ,invite
ไปคาเฟ่กันไหม,invite
ไปเที่ยวกันเสาร์นี้ไหม,invite
ไปกินชาบูกัน,invite
ไปซื้อของเป็นเพื่อนหน่อย,invite
มึงไปด้วยกันไหม,invite
ไปนั่งเล่นกันปะ,invite
ไปหาอะไรกินกัน,invite
ออกไปข้างนอกกันไหม,invite
ไปตลาดกันปะ,invite
ไปดูคอนเสิร์ตกันไหม,invite
ไปเล่นเกมร้านเน็ตกัน,invite
ไปหากาแฟกินกันไหม,invite
ไปวิ่งด้วยกันไหม,invite
ไปเดินห้างกันปะ,invite
ไปถ่ายรูปกันไหม,invite
ไปกินหมูกระทะกัน,invite
ไปนั่งคุยกันไหม,invite
คืนนี้โทรกันปะ,invite
ว่างปะมาเล่นเกมกัน,invite
ไปทำงานด้วยกันไหม,invite
ไปหาหนังดูด้วยกัน,invite
ไปนั่งรถเล่นกันปะ,invite
มากินข้าวบ้านเราปะ,invite
ไปทะเลกันไหมวันหยุด,invite
ไปดูไฟกันไหม,invite
ไปปั่นจักรยานกัน,invite
ไปไหว้พระกันไหม,invite
มึงว่างไหมมาหาหน่อย,invite
มาเม้าท์กันหน่อยแม่,invite
ไปฟาดของหวานกัน,invite
ไปช้อปแบบตัวแม่กันไหม,invite
ไปกินของแซ่บกันหล่อน,invite
คืนนี้ออกไหม,invite
ไปตี้กันปะ,invite
มาดูซีรีส์ด้วยกันไหม,invite
ไปซ้อมร้องเพลงกันไหม,invite
ไปซื้อชาไข่มุกกัน,invite
ไปกินไอติมกันไหม,invite
ว่างๆไปเดินเล่นกันนะ,invite
ไปทำคอนเทนต์กันปะ,invite
ไปดูพระอาทิตย์ตกกันไหม,invite
ไปหาแมวเล่นกัน,invite
ไปอ่านหนังสือด้วยกันไหม,invite
ไปนั่งเงียบๆด้วยกันปะ,invite
มาโทรคุยกันหน่อย,invite
ไปกินข้าวด้วยกันนะคับ,invite
พรุ่งนี้ไปด้วยกันไหม,invite
ขอโทษนะ,apology
ขอโทษจริงๆ,apology
โทษทีนะ,apology
เมื่อกี้พูดแรงไปขอโทษ,apology
กูขอโทษ,apology
ขอโทษที่ตอบช้า,apology
ขอโทษที่ทำให้รอ,apology
ไม่ได้ตั้งใจให้เสียใจ,apology
ขอโทษที่หายไป,apology
ขออภัยครับ,apology
ขออภัยค่ะ,apology
ขอโทดน้า,apology
โทดทีคับ,apology
เราเสียใจจริงๆ,apology
ขอโทษที่ทำตัวแย่,apology
ขอโทษที่งี่เง่า,apology
ขอโทษที่ใช้อารมณ์,apology
เมื่อวานเราผิดเอง,apology
กูผิดเองแหละ,apology
ขอโทษที่ทำให้ลำบากใจ,apology
ไม่ควรพูดแบบนั้นเลย,apology
ขอโทษที่ทำให้ผิดหวัง,apology
ขอโทษนะให้อภัยได้ไหม,apology
ขอโทษที่ไม่คิดก่อนพูด,apology
เราไม่ได้ตั้งใจจริงๆ,apology
ขอโทษที่ทำเสียบรรยากาศ,apology
โทษทีแม่งพลาดจริง,apology
ขอโทษที่ทำให้โมโห,apology
ขอโทษนะคนดี,apology
ขอโทษที่ทำให้ไม่สบายใจ,apology
ขอโทษที่อ่านแล้วไม่ตอบ,apology
ขอโทษที่ลืมนัด,apology
ขอโทษที่ไปสาย,apology
ขอโทษที่ทำตัวน่ารำคาญ,apology
ขอโทษที่ประชดใส่,apology
ขอโทษที่ไม่ฟัง,apology
ขอโทษที่คิดน้อยไป,apology
ขอโทษนะเดี๋ยวปรับปรุง,apology
ยอมรับว่าผิดจริง,apology
ขอโทษที่ทำตัวเหี้ยๆ,apology
ขอโทษที่เสียงดังใส่,apology
ขอโทษที่ทำให้ร้องไห้,apology
ขอโทษที่พูดไม่ดี,apology
โทษนะเมื่อกี้หัวร้อน,apology
ขอโทษจากใจเลย,apology
ขอโทษที่ทำให้เหนื่อย,apology
ขอโทษที่ไม่เข้าใจเธอ,apology
ขอโทษที่ทำตัวงี่เง่าคับ,apology
เราเสียใจนะที่ทำแบบนั้น,apology
ขอโทษนะอย่าเพิ่งโกรธ,apology
เอาที่สบายใจ,angry
แล้วแต่มึงเลย,angry
ไม่ต้องมายุ่ง,angry
พอเถอะ,angry
กูเหนื่อยจะคุยแล้ว,angry
แม่งน่ารำคาญ,angry
ทำไมต้องเป็นแบบนี้วะ,angry
พูดไปก็เท่านั้น,angry
ช่างแม่งละ,angry
ไม่อยากคุยแล้ว,angry
เลิกถามได้ปะ,angry
มึงจะเอาไงก็เอา,angry
โคตรเบื่อ,angry
อย่ามายุ่งกับกู,angry
พอได้แล้ว,angry
กูไม่โอเค,angry
ทำตัวเหี้ยไรวะ,angry
แม่งเสียเวลา,angry
ไม่ต้องตอบก็ได้,angry
อย่าประชดดิ,angry
พูดดีๆไม่เป็นหรอ,angry
กูรำคาญจริง,angry
หงุดหงิดว่ะ,angry
มึงไม่เคยฟังกูเลย,angry
จะอะไรกันนักหนา,angry
บอกแล้วไม่ฟัง,angry
ไม่ต้องมาทำเป็นดี,angry
เบื่อคำแก้ตัว,angry
กูหมดใจจะอธิบาย,angry
หยุดเถอะขอร้อง,angry
มึงแม่งเหมือนเดิม,angry
ไม่ตลกนะ,angry
อย่ามาเล่นกับความรู้สึก,angry
พูดแบบนี้เพื่ออะไร,angry
แม่งโคตรแย่,angry
กูไม่ใช่ที่รองรับอารมณ์,angry
พอแล้วจริงๆ,angry
อย่าเยอะได้ไหม,angry
พูดแล้วเหนื่อย,angry
ทำไมต้องโยนให้กูตลอด,angry
กูไม่ได้ว่างมารับดราม่า,angry
โคตรนอยเลยนะ,angry
อย่ามาแกงกัน,angry
ชั้นGมากนะอันนี้,angry
ประสาทแดกหรอ,angry
เหี้ยไรอีกเนี่ย,angry
กูไม่ขำ,angry
ไม่ต้องมาแถ,angry
มึงไปคิดเองก่อน,angry
จบแค่นี้เถอะ,angry
อืม,dry_reply
เค,dry_reply
โอเค,dry_reply
จ้า,dry_reply
ครับ,dry_reply
ค่ะ,dry_reply
คับ,dry_reply
อ่อ,dry_reply
อ่า,dry_reply
อื้ม,dry_reply
ได้,dry_reply
ไม่,dry_reply
ใช่,dry_reply
เออ,dry_reply
อือ,dry_reply
อือๆ,dry_reply
แล้วแต่,dry_reply
ตามนั้น,dry_reply
ช่างมัน,dry_reply
อืมม,dry_reply
งั้นแหละ,dry_reply
อื,dry_reply
จ่ะ,dry_reply
จ้าา,dry_reply
อ่ออ,dry_reply
อืมครับ,dry_reply
ค่ะๆ,dry_reply
เคๆ,dry_reply
ได้ๆ,dry_reply
ไม่รู้,dry_reply
เฉยๆ,dry_reply
ก็ได้,dry_reply
อืมได้,dry_reply
อือได้,dry_reply
ใช่ๆ,dry_reply
งับ,dry_reply
ครัช,dry_reply
อ่าเค,dry_reply
ตามใจ,dry_reply
ก็ดี,dry_reply
แค่นั้น,dry_reply
อืมช่างเหอะ,dry_reply
เหรอ,dry_reply
หรอ,dry_reply
จริงดิ,dry_reply
อ่อเค,dry_reply
อืมมมม,dry_reply
เคจ้า,dry_reply
ครับผม,dry_reply
อ่อจ้า,dry_reply
ไม่เป็นไรนะ,comfort
สู้ๆนะ,comfort
เดี๋ยวมันก็ดีขึ้น,comfort
พักก่อนก็ได้,comfort
เราอยู่ข้างๆนะ,comfort
เหนื่อยก็พักนะ,comfort
มึงเก่งมากแล้ว,comfort
ไม่ต้องแบกทุกอย่างคนเดียว,comfort
ร้องไห้ได้ไม่ผิด,comfort
ค่อยๆไปนะ,comfort
วันนี้แย่ได้แต่พรุ่งนี้เริ่มใหม่,comfort
กอดๆนะ,comfort
อย่าโทษตัวเองเลย,comfort
มันไม่ใช่ความผิดเธอทั้งหมด,comfort
เดี๋ยวผ่านไปได้,comfort
ใจเย็นๆนะ,comfort
หายใจลึกๆก่อน,comfort
มึงไม่ได้อยู่คนเดียวนะ,comfort
ถ้าอยากเล่าเราฟังอยู่,comfort
ไม่ต้องรีบโอเคก็ได้,comfort
แค่รอดวันนี้ก็เก่งแล้ว,comfort
ภูมิใจในตัวมึงนะ,comfort
อย่ากดดันตัวเองเกินไป,comfort
ช่างแม่งบ้างก็ได้,comfort
พักเถอะเดี๋ยวค่อยลุยใหม่,comfort
เธอทำดีที่สุดแล้ว,comfort
ไม่เป็นไรนะคนเก่ง,comfort
ยังมีเราอยู่ตรงนี้,comfort
เสียใจได้เต็มที่เลย,comfort
ค่อยๆหาทางกัน,comfort
ทุกอย่างมันมีทางออก,comfort
อย่าเพิ่งยอมแพ้นะ,comfort
เธอไม่ได้แย่เลย,comfort
วันนี้หนักมากใช่ไหม,comfort
มาร้องไห้กับเราได้,comfort
ขอให้ใจเบาขึ้นนะ,comfort
เดี๋ยวมันก็ผ่านไปเหมือนทุกครั้ง,comfort
มึงทำถึงแล้วจริงๆ,comfort
เก่งมากตัวแม่,comfort
ไม่ไหวก็พักก่อนหล่อน,comfort
ชีวิตมันตุ๊บได้แต่เราลุกได้,comfort
วันนี้ไม่ปังก็ไม่เป็นไร,comfort
อย่าให้เรื่องเหี้ยๆทำลายทั้งวัน,comfort
เราเชื่อว่าเธอทำได้,comfort
อยากให้รู้ว่ามีคนเป็นห่วง,comfort
ไม่ต้องเข้มแข็งตลอดเวลาก็ได้,comfort
พักใจแป๊บนึงนะ,comfort
ให้เวลากับตัวเองหน่อย,comfort
มึงสำคัญนะอย่าลืม,comfort
เดี๋ยวพรุ่งนี้ค่อยเริ่มใหม่,comfort
ฝันดีนะ,goodnight
นอนละนะ,goodnight
ไปนอนก่อนนะ,goodnight
ง่วงแล้วฝันดี,goodnight
ฝันดีคับ,goodnight
ฝันดีค่า,goodnight
นอนหลับฝันดี,goodnight
ราตรีสวัสดิ์,goodnight
ไปนอนละเด้อ,goodnight
นอนก่อนน้า,goodnight
พรุ่งนี้ค่อยคุยนะ,goodnight
หลับฝันดีนะคนเก่ง,goodnight
ฝันดีนะงับ,goodnight
ง่วงมากไปนอนก่อน,goodnight
นอนได้แล้วนะ,goodnight
อย่านอนดึกนะ,goodnight
หลับดีๆนะ,goodnight
ฝันถึงเราด้วย,goodnight
ไปนอนก่อนค้าบ,goodnight
ฝันดีนะมึง,goodnight
กูไปนอนละ,goodnight
นอนก่อนเด้อแม่,goodnight
ปิดไฟนอนละ,goodnight
แบตหมดละไปนอน,goodnight
คืนนี้พักผ่อนนะ,goodnight
ฝันดีนะคนดี,goodnight
พรุ่งนี้เจอกันนะ,goodnight
นอนละตาจะปิด,goodnight
ง่วงสัสนอนละ,goodnight
ไปนอนก่อนนะหล่อน,goodnight
ฝันดีแบบจึ้งๆ,goodnight
นอนให้ฉ่ำนะ,goodnight
คืนนี้ขอให้หลับสบาย,goodnight
อย่ามัวไถมือถือดึกนะ,goodnight
นอนเถอะดึกแล้ว,goodnight
ฝันดีนะตัวแม่,goodnight
ไปนอนก่อนจ้า,goodnight
ราตรีสวัสดิ์งับ,goodnight
คืนนี้พอแค่นี้นะ,goodnight
พักผ่อนเยอะๆนะ,goodnight
หลับฝันดีคับผม,goodnight
นอนก่อนนะเดี๋ยวพรุ่งนี้ทัก,goodnight
good night นะ,goodnight
gn ฝันดี,goodnight
นอนละไม่ไหว,goodnight
ฝันดีนะอย่าคิดมาก,goodnight
ไปนอนละเหนื่อย,goodnight
ขอตัวไปนอนก่อน,goodnight
ฝันดีนะเจ้าเด็ก,goodnight
นอนก่อนนะบาย,goodnight
อันนี้คืออะไรอะ,unknown
ไม่แน่ใจเหมือนกัน,unknown
เรื่องนั้นเดี๋ยวดูก่อน,unknown
วันนี้ฝนตกแปลกๆ,unknown
สีนี้ดูเข้มไปไหม,unknown
มือถือแบตหมดเร็วมาก,unknown
เพลงนี้ติดหูดี,unknown
เมื่อกี้เห็นแมววิ่งผ่าน,unknown
ระบบมันขึ้นอะไรไม่รู้,unknown
ไฟห้องกระพริบอีกแล้ว,unknown
อันนี้ต้องใช้ตัวไหน,unknown
ของมันอยู่ตรงไหนนะ,unknown
ตอนนั้นจำไม่ค่อยได้,unknown
เลขนี้คืออะไร,unknown
ไฟล์นี้เปิดไม่ได้,unknown
หน้าเว็บโหลดช้า,unknown
เดี๋ยวลองดูอีกที,unknown
น่าจะเป็นแบบนั้นมั้ง,unknown
อันนี้งงจริง,unknown
ไม่รู้จะเริ่มตรงไหน,unknown
มีอะไรบางอย่างแปลกๆ,unknown
เหมือนจะลืมอะไรไป,unknown
ตัวนี้สีสวยดี,unknown
ราคาเท่าไรนะ,unknown
วันนี้อากาศโคตรร้อน,unknown
กูหากุญแจไม่เจอ,unknown
เมนูนี้ชื่ออะไร,unknown
ปุ่มนี้กดแล้วเกิดไร,unknown
อันนั้นวางไว้ไหน,unknown
ภาพมันเบลอๆ,unknown
เน็ตช้ามากแม่ง,unknown
จอค้างอีกละ,unknown
เหมือนเสียงมันซ่าๆ,unknown
กล่องนี้ของใคร,unknown
ยังไม่ได้เช็กเลย,unknown
ตรงนี้ต้องแก้ไหม,unknown
อันนี้ดูจึ้งแต่ไม่รู้คือไร,unknown
ชีเสิร์ฟอะไรไม่รู้,unknown
มงลงตรงไหนก่อน,unknown
เรื่องนี้พัดไปก่อน,unknown
เลยป้ายไปไกลมาก,unknown
คุณน้ามาแนวไหน,unknown
นอยอ่าาแต่ไม่รู้เพราะอะไร,unknown
เอ๊ะคือที่,unknown
ฉ่ำแบบงงๆ,unknown
เดี๋ยวค่อยว่ากัน,unknown
อาจจะใช่ก็ได้,unknown
มันแปลกแต่บอกไม่ถูก,unknown
ไว้ค่อยคิด,unknown
ไม่รู้สิ,unknown
ควย,angry   