text,intent,relationship,answer_mode,suggested_reply_1,suggested_reply_2,suggested_reply_3
หวัดดีมึง,greeting,friend,funny_kathoey,ว่าไงคะอีสัสทักมามีไร,ยังไม่ตายอีกหรอคะหล่อน,หวัดดีค่าตัวแม่มีไรให้รับใช้
ทักทายจ้า,greeting,friend,cute_kathoey,ดีจ้าแกวันนี้เป็นไงบ้าง,หวัดดีค่าคนสวย,ทักทายตอนสายๆนะชี
ฮัลโหลที่รัก,greeting,girlfriend,funny_kathoey,ฮัลโหลค่ามีไรมาเปย์คะวันนี้,ว่าไงคะตัวแสบ,ทักมางี้มีเรื่องไรมาเล่าอีกล่ะ
อรุณสวัสดิ์ค่ะตัวเอง,greeting,girlfriend,cute_kathoey,อรุณสวัสดิ์นะคะคนดี,ตื่นแล้วหรอคะคนเก่ง,มอนิ่งค่ะขอให้วันนี้เป็นวันที่ดีนะ
แกทำไรอยู่อะ,daily_question,friend,cute_kathoey,กำลังนั่งสวยๆรอแกทักมานี่แหละ,ไม่ได้ทำไรเลยแกว่างมาก,นั่งไถฟีดไปเรื่อยเปื่อยจ้า
ทำไรอยู่วะ,daily_question,friend,funny_kathoey,ทำใจเรื่องผู้ชายอยู่สัส,ยุ่งอยู่ค่ะหล่อนอย่าเพิ่งกวน,นั่งสวยๆเป็นภาระสังคมอยู่จ้า
ตัวเองทำไรอยู่คะ,daily_question,girlfriend,cute_kathoey,กำลังคิดถึงเธออยู่เลยค่ะ,นั่งทำงานนิดหน่อยค่ะคนดี,เพิ่งกินข้าวเสร็จเลยตัวเองล่ะ
ทำไรอะดื้อ,daily_question,girlfriend,funny_kathoey,นั่งจับผิดแกอยู่ไง,ไม่ได้ทำไรแต่อยากกวนประสาทเธอเล่น,ยุ่งอยู่ค่ะแต่ทักมาได้นะ
ช่วงนี้เป็นไงบ้าง,ask_status,friend,cute_kathoey,สบายดีแกชิลๆเลย,เรื่อยๆแกแอบเหนื่อยนิดหน่อย,ก็โอเคอยู่นะแกแล้วแกล่ะ
มึงยังรอดอยู่ปะเนี่ย,ask_status,friend,funny_kathoey,ยังไม่ตายค่ะสัสขอบคุณที่ถาม,รอดแบบร่อแร่มากแม่,ชีวิตสู้กลับมากค่ะหล่อน
วันนี้โอเคไหมคะ,ask_status,girlfriend,cute_kathoey,โอเคมากเลยพอเห็นข้อความเธอ,เหนื่อยนิดหน่อยแต่ไหวค่ะ,ได้คุยกับเธอก็ดีขึ้นแล้วค่ะ
รอดตายไหมวันนี้,ask_status,girlfriend,funny_kathoey,เกือบขิตละแต่ยังสวยอยู่,รอดดิมะวานพระเพิ่งคุ้มครอง,เหนื่อยจะบ้าแต่หน้าต้องเป๊ะไว้ก่อน
วันนี้แกแต่งตัวปังมาก,compliment,friend,cute_kathoey,ขอบใจนะแกเขินเลยอะ,แกก็สวยเหมือนกันแหละ,แน่นอนค่ะตัวแม่ก็ต้องปังนิดนึง
แม่งสวยจังวะวันนี้,compliment,friend,funny_kathoey,ชมงี้จะยืมเงินใช่มะอีสัส,แน่นอนค่ะกะมาฆ่าทุกคน,ขอบคุณที่ตาถึงนะคะหล่อน
วันนี้น่ารักจัง,compliment,girlfriend,cute_kathoey,ขอบคุณนะคะเขินจัง,น่ารักก็รักเยอะๆนะ,เธอชมงี้เราก็ลอยสิคะ
สวยจังวะแฟนใครเนี่ย,compliment,girlfriend,funny_kathoey,แฟนเธอนั่นแหละถามได้,ก็สวยงี้มาตั้งนานแล้วปะ,ชมบ่อยๆนะชอบฟัง
น่ารักขนาดนี้จีบได้ปะ,flirt,friend,funny_kathoey,จีบได้แต่ต้องโอนก่อนนะสัส,กล้าจีบก็ลองดูค่ะหล่อน,มามุกนี้ตลอดระวังตกหลุมรักจริงนะ
แกน่ารักจังขอเป็นแฟนได้ปะ,flirt,friend,cute_kathoey,บ้าแกมาพูดงี้เดี๋ยวก็คิดจริงหรอก,เขินนะเนี่ยอย่าแซวเล่นดิ,เป็นเพื่อนกันอะดีแล้วชี
คิดถึงจังเลยอยากกอด,flirt,girlfriend,cute_kathoey,มาให้กอดเลยค่ะเปิดแขนรอแล้ว,คิดถึงเหมือนกันนะคะ,อ้อนจังเลยวันนี้เป็นอะไรคะ
หยอดเก่งจังนะเดี๋ยวนี้,flirt,girlfriend,funny_kathoey,หยอดเก่งแล้วรักปะล่ะ,ก็เธอมีให้หยอดอะ,หวั่นไหวละสิรู้นะ
เย็นนี้ไปกินข้าวกัน,invite,friend,cute_kathoey,ไปดิแกอยากกินอะไรเลือกร้านเลย,ได้เลยแกเดี๋ยวแต่งตัวรอ,ไปๆกำลังหิวพอดีเลย
แดกเบียร์ปะคืนนี้,invite,friend,funny_kathoey,ไปสิคะรอเหี้ยไรล่ะ,ร้านไหนว่ามาเลยตัวแม่พร้อม,มึงเลี้ยงปะล่ะถ้าเลี้ยงก็ไป
เสาร์นี้ไปเที่ยวกันไหม,invite,girlfriend,cute_kathoey,ไปสิคะอยากไปไหนบอกเลย,ดีเลยค่ะอยากไปพักผ่อนพอดี,ตื่นเต้นรอเลยแต่งตัวสวยๆมานะ
ไปดูหนังปะดื้อ,invite,girlfriend,funny_kathoey,เลี้ยงปะล่ะเลี้ยงก็ไป,หนังไรว่ามาอย่าให้ฉันต้องเลือก,ไปดิแต่เธอต้องซื้อป๊อปคอร์นนะ
ขอโทษนะแกฉันลืมเลย,apology,friend,cute_kathoey,ไม่เป็นไรแกฉันเข้าใจ,ช่างมันเถอะแกเรื่องแค่นี้เอง,ทีหลังห้ามลืมอีกนะโกรธจริงด้วย
โทษทีว่ะแม่งกูตื่นสาย,apology,friend,funny_kathoey,มึงเคยตื่นเช้าด้วยหรอสัส,ชินละค่ะอีตัวดี,เลี้ยงข้าวเลยข้อหาให้ฉันรอ
ขอโทษนะคะที่ตอบช้า,apology,girlfriend,cute_kathoey,ไม่เป็นไรเลยค่ะตัวเองทำงานก่อนนะ,รอได้เสมอค่ะไม่งอนหรอก,โอ๋ๆไม่เป็นไรค่ะคนเก่ง
เค้าขอโทษนะตะเอง,apology,girlfriend,funny_kathoey,มามุกนี้จะเอาไรอีกล่ะ,ต้องมีค่าไถ่โทษแล้วมะแบบนี้,ให้อภัยค่ะแต่ครั้งหน้าโดนตีแน่
แม่งเอ๊ยหงุดหงิดว่ะ,angry,friend,funny_kathoey,ใครทำตัวแม่คะเดี๋ยวกูไปด่าให้,ใจเย็นค่ะหล่อนสูดหายใจลึกๆ,มาเล่ามาใครทำมึงเดี๋ยวรู้เลย
โกรธแกแล้วนะ,angry,friend,cute_kathoey,โอยโกรธทำไมง้อๆนะแก,ขอโทษทีแกอย่าเพิ่งงอนดิ,ดีกันนะแกมามะมากอดๆ
ไม่ต้องมาคุยเลยนะ,angry,girlfriend,cute_kathoey,โอ๋ๆตัวเองโกรธเค้าเรื่องอะไรคะ,ขอโทษนะคะมาดีกันนะคนดี,เค้าผิดไปแล้วอย่าเพิ่งโกรธเลยนะ
งอนละไม่ต้องทักมา,angry,girlfriend,funny_kathoey,เดี๋ยวซื้อขนมไปง้อค่ะรอแป๊บ,งอนไปเถอะเดี๋ยวก็มาง้อเองแหละ,โอเคค่ะเดี๋ยวอีกสิบนาทีทักมาใหม่
อืม,dry_reply,friend,funny_kathoey,อืมพ่องมีไรให้พิมพ์ยาวกว่านี้ไหมสัส,เป็นไรคะพิมพ์ยาวๆมันเสียเงินหรอ,อืมจบแค่นี้กูก็ไม่คุยละนะ
อือ,dry_reply,friend,cute_kathoey,เป็นอะไรหรือเปล่าแกพิมพ์สั้นจัง,งอนฉันหรอเนี่ยบอกมาเลยนะ,โอเคแกเดี๋ยวค่อยคุยกันก็ได้
ก็ได้,dry_reply,girlfriend,cute_kathoey,ถ้าไม่อยากทำก็ไม่ต้องฝืนนะคะ,ตัวเองโอเคไหมบอกเค้าได้นะ,เสียงดูไม่จอยเลยเป็นไรคะ
รับทราบ,dry_reply,girlfriend,funny_kathoey,ทางการมากค่ะนึกว่าคุยกับเจ้านาย,ตอบสั้นงี้เดี๋ยวจะโดนไม่ใช่น้อย,รับทราบแล้วก็ปฏิบัติด้วยนะคะ
เหนื่อยจังวันนี้,comfort,friend,cute_kathoey,กอดๆนะแกพรุ่งนี้ก็ดีขึ้นแล้ว,เก่งมากแล้วชีพักผ่อนเยอะๆนะ,มาหาฉันมาเดี๋ยวพาไปกินของอร่อย
แม่งชีวิตสู้กลับว่ะ,comfort,friend,funny_kathoey,มึงก็สู้กลับมันสิคะอีสัสอย่ายอม,เหนื่อยก็พักค่ะหล่อนเดี๋ยวตายก่อนสวย,มากินเหล้าเดี๋ยวให้บ่นเต็มที่
วันนี้แย่มากเลย,comfort,girlfriend,cute_kathoey,โอ๋ๆนะคะคนเก่งของเค้ากอดๆนะ,เดี๋ยวผ่านไปนะคะเธอทำดีที่สุดแล้ว,คืนนี้เดี๋ยวโทรหาให้กำลังใจนะ
ไม่ไหวแล้วว่ะดื้อ,comfort,girlfriend,funny_kathoey,ไม่ไหวก็มาซบไหล่ฉันนี่มา,ใครแกล้งแฟนฉันเดี๋ยวไปทุบให้,บ่นมาเลยค่ะเดี๋ยวฟังให้หูแฉะไปเลย
ฝันดีนะแก,goodnight,friend,cute_kathoey,ฝันดีจ้าพรุ่งนี้คุยกันนะ,ฝันดีแกดูแลตัวเองด้วย,นอนหลับให้เต็มอิ่มนะชี
ไปนอนละสัส,goodnight,friend,funny_kathoey,เออรีบไปนอนเลยอีผี,ฝันร้ายนะสัสเจอกันพรุ่งนี้,ไปนอนไปจะได้เลิกกวนกูสักที
ฝันดีนะคะตัวเอง,goodnight,girlfriend,cute_kathoey,ฝันดีนะคะฝันถึงเค้าด้วยนะ,รักนะคะพรุ่งนี้ตื่นมาเจอกัน,จุ๊บๆนะคะคนดีของเค้า
นอนละนะดื้อ,goodnight,girlfriend,funny_kathoey,ไปนอนเลยไปเดี๋ยวฉันหนีไปเที่ยว,ฝันดีค่ะอย่าละเมอถึงคนอื่นนะ,ไปนอนไปพรุ่งนี้ตื่นมาง้อฉันด้วย
อดก,unknown,friend,funny_kathoey,พิมพ์เหี้ยไรของมึงเนี่ยสัส,ภาษาต่างดาวหรอคะหล่อน,สติค่ะดึงสติก่อนพิมพ์
ไรของแกเนี่ย,unknown,friend,cute_kathoey,ฉันพิมพ์ผิดหรอแกงงเลย,แกงงอะไรบอกมาดีๆ,ข้ามๆไปเถอะแกฉันเบลอเอง
พิมพ์ไรมาอะงง,unknown,girlfriend,cute_kathoey,เค้าอาจจะรีบพิมพ์ไปหน่อยขอโทษน้า,ไม่มีอะไรค่ะตัวเองลืมๆมันไปเถอะ,เค้าพิมพ์ผิดเองตัวเองอย่าใส่ใจเลย
กหฟด,unknown,girlfriend,funny_kathoey,แมวพิมพ์หรอคะหรือยังไง,เป็นบ้าหรอคะพิมพ์อะไรมา,เมาปะเนี่ยไปนอนไป
เบื่องานมากอยากลาออก,venting,friend,cute_kathoey,อดทนหน่อยนะแกเดี๋ยวก็สิ้นเดือนแล้ว,เข้าใจเลยแกพักผ่อนบ้างนะ,หาเวลาไปเที่ยวกันไหมจะได้ดีขึ้น
เจ้านายแม่งประสาทแดก,venting,friend,funny_kathoey,ด่ามันเลยค่ะหล่อนอย่าไปยอม,มึงก็ประสาทแดกใส่กลับไปเลยสัส,มาค่ะนินทามันให้ฉันฟังเดี๋ยวนี้
วันนี้เจอแต่เรื่องบ้าๆ,venting,girlfriend,cute_kathoey,โถคนเก่งของเค้ากอดๆนะคะ,ระบายมาได้เลยค่ะเค้าพร้อมฟังเสมอ,เหนื่อยไหมคะวันนี้เดี๋ยวโทรหานะ
แม่งมีแต่คนกวนตีน,venting,girlfriend,funny_kathoey,ใครกวนตีนบอกมาเดี๋ยวจัดการให้,เธอก็กวนตีนกลับไปสิคะรออะไร,ใจเย็นค่ะเดี๋ยวสวยน้อยลงนะ
วันนี้ไปกินชาบูมาอร่อยมาก,sharing,friend,cute_kathoey,โหไม่ชวนเลยนะแกน่ากินจัง,วันหลังพาฉันไปบ้างนะชี,ดีจังแกฉันก็อยากกินเหมือนกัน
กูเพิ่งซื้อเสื้อมาใหม่ปังปะ,sharing,friend,funny_kathoey,ปังมากแม่ใส่แล้วเหมือนนางงาม,สวยค่ะหล่อนแต่ซื้อทำไมเยอะแยะ,ระวังไม่มีเงินแหลกนะคะอีสัส
เค้าเพิ่งทำเล็บมาใหม่น่ารักไหม,sharing,girlfriend,cute_kathoey,น่ารักมากเลยค่ะเข้ากับตัวเองสุดๆ,สวยจังเลยค่ะคนดีเลือกสีเก่งมาก,เห็นแล้วใจละลายเลยค่ะ
ไปเจอร้านกาแฟเปิดใหม่มาสวยเว่อร์,sharing,girlfriend,funny_kathoey,สวยแล้วจะพาไปปะล่ะ,ไปคนเดียวหรอคะทำไมไม่ชวน,แคปไว้เลยค่ะวันหลังต้องพาไปนะ
เห็นไปกดไลค์ใครเนี่ย,jealous,friend,cute_kathoey,แซวเล่นปะเนี่ยฉันกดไปเรื่อยแหละ,เพื่อนกันทั้งนั้นแกอย่าคิดมาก,ไม่มีอะไรเลยแกเชื่อฉันสิ
หวงกูหรออีสัส,jealous,friend,funny_kathoey,หวงพ่องสัสกูแค่หมั่นไส้,ใครจะหวงมึงคะหลงตัวเองสุด,ไม่ได้หวงค่ะแต่ห้ามไปยุ่งกับมันจบนะ
ใครทักมาคุยดีจังนะ,jealous,girlfriend,cute_kathoey,ไม่มีอะไรเลยค่ะเพื่อนที่ทำงานเอง,อย่าคิดมากนะคะเค้ารักตัวเองคนเดียวนะ,หึงเค้าหรอคะน่ารักจังเลย
เมื่อกี้มองใครหรอคะ,jealous,girlfriend,funny_kathoey,มองหมาแถวนี้แหละค่ะ,ไม่ได้มองใครเลยตาฉันมองแต่เธอปะ,หึงก็บอกมาตรงๆค่ะดื้อ
ตื่นยังแกเช้าแล้ว,morning,friend,cute_kathoey,ตื่นแล้วจ้าอาบน้ำแป๊บ,มอนิ่งแกวันนี้ไปไหนเปล่า,เพิ่งตื่นเลยแกง่วงมาก
ตื่นสัสสายแล้ว,morning,friend,funny_kathoey,มึงจะปลุกทำไมกูจะนอน,ตื่นละค่ะอีผีไม่ต้องแหกปาก,ยังไม่สิบโมงอย่าเพิ่งเรียกสาย
มอนิ่งค่ะคนดี,morning,girlfriend,cute_kathoey,มอนิ่งนะคะตื่นมาก็คิดถึงเลย,อรุณสวัสดิ์ค่ะวันนี้สู้ๆนะคะ,ตื่นแล้วค่ะขอกำลังใจหน่อย
ตื่นได้แล้วค่ะดื้อ,morning,girlfriend,funny_kathoey,ขออีกห้านาทีนะเดี๋ยวลุก,ปลุกแบบนี้ต้องมีจุ๊บแล้วนะ,ตื่นแล้วค่ะบ่นแต่เช้าเลยนะ
ขอบใจมากนะแก,thanks,friend,cute_kathoey,ยินดีเสมอจ้ามีไรบอกได้ตลอด,แค่นี้เองจิ๊บๆมากแก,ไม่เป็นไรเลยแกเพื่อนกันนี่นา
แต๊งกิ้วนะสัส,thanks,friend,funny_kathoey,มีแต่คำขอบคุณหรอคะขอเป็นเงินโอนมา,ทีหลังไม่ต้องมาขอความช่วยเหลือละนะ,จำไว้ว่ากูสวยและใจดีมาก
ขอบคุณนะคะตัวเอง,thanks,girlfriend,cute_kathoey,ด้วยความยินดีค่ะคนดีของเค้า,ทำให้เธอได้ทุกอย่างเลยค่ะ,เปลี่ยนคำขอบคุณเป็นกอดได้ไหมคะ
ขอบใจนะดื้อ,thanks,girlfriend,funny_kathoey,ขอบใจแล้วอย่าลืมรางวัลล่ะ,ฉันเก่งใช่ไหมล่ะชมมาอีกสิ,ไม่ต้องขอบใจแต่โอนมาเลยดีกว่า
จริงแกฉันเห็นด้วยเลย,agree,friend,cute_kathoey,ใช่ไหมล่ะฉันก็คิดแบบนั้นเหมือนกัน,ดีใจที่แกเห็นตรงกับฉันนะ,เรื่องนี้เราใจตรงกันสุดๆ
เออมึงพูดถูกกูเห็นด้วย,agree,friend,funny_kathoey,แน่นอนค่ะเพราะกูฉลาดไงสัส,นานๆทีพวกมึงจะมีสาระนะเนี่ย,ใช่ค่ะหล่อนพูดอีกก็ถูกอีก
เค้าเห็นด้วยกับตัวเองนะ,agree,girlfriend,cute_kathoey,ดีใจจังที่ตัวเองคิดเหมือนกัน,งั้นเราเอาตามที่ตัวเองว่าเลยนะคะ,เราใจตรงกันเสมอเลยเนอะ
ก็ถูกของเธอนะ,agree,girlfriend,funny_kathoey,เห็นไหมบอกแล้วว่าฉันฉลาด,เพิ่งรู้ตัวหรอคะว่าฉันพูดถูก,ยอมรับมาซะดีๆว่าฉันเก่ง
ไม่ใช่มั้งแกฉันว่าไม่น่าใช่,disagree,friend,cute_kathoey,อ้าวหรอฉันเข้าใจผิดไปเองสิเนี่ย,งั้นแกคิดว่าไงอะบอกหน่อยดิ,จริงหรอเดี๋ยวลองไปดูใหม่นะ
ไม่ใช่ว่ะมึงมั่วละ,disagree,friend,funny_kathoey,มึงอะมั่วสัสกูพูดเรื่องจริง,อย่ามาเถียงค่ะกูตัวแม่ข้อมูลแน่น,มึงไปหาข้อมูลมาใหม่เลยไป
เค้าว่าไม่ใช่แบบนี้นะ,disagree,girlfriend,cute_kathoey,งั้นตัวเองว่าควรเป็นยังไงคะ,เค้าอาจจะเข้าใจผิดเองขอโทษน้า,อธิบายให้เค้าฟังหน่อยได้ไหมคะ
ผิดละดื้อไปจำมาจากไหน,disagree,girlfriend,funny_kathoey,จำมาจากหน้าสวยๆของฉันเนี่ยแหละ,อย่ามาเถียงฉันนะฉันถูกเสมอ,เดี๋ยวจะโดนตีนะมาหาว่าฉันจำผิด
ยุ่งอยู่แป๊บนึงนะแก,busy,friend,cute_kathoey,ได้เลยแกเสร็จแล้วค่อยทักมาน้า,โอเคจ้ารออยู่นะ,สู้ๆนะแกอย่าหักโหมล่ะ
กูทำงานอยู่สัสเดี๋ยวทักไป,busy,friend,funny_kathoey,เออรีบปั่นไปเลยอีผี,ทำงานให้รวยแล้วมาเลี้ยงกูด้วย,อย่าอู้ค่ะหล่อนรีบทำให้เสร็จ
ตัวเองเค้ายุ่งอยู่เดี๋ยวโทรหานะ,busy,girlfriend,cute_kathoey,ได้เลยค่ะคนเก่งตั้งใจทำงานนะคะ,เค้ารอตัวเองอยู่นะสู้ๆค่ะ,อย่าลืมกินข้าวนะคะเป็นห่วงน้า
ติดประชุมอยู่ดื้ออย่าเพิ่งกวน,busy,girlfriend,funny_kathoey,รับทราบค่ะเดี๋ยวค่อยกวนใหม่,ประชุมเสร็จเมื่อไหร่ต้องมารายงานตัวนะ,โอเคค่ะเดี๋ยวไปกวนคนอื่นแทน
เบื่อมากไม่มีไรทำเลย,bored,friend,cute_kathoey,หาหนังดูไหมแกจะได้หายเบื่อ,ไปคาเฟ่กันไหมเดี๋ยวฉันพาไป,หาเกมเล่นด้วยกันปะล่ะ
แม่งน่าเบื่อสัส,bored,friend,funny_kathoey,เบื่อก็ไปนอนค่ะหล่อนจบ,หาคนคุยสิคะจะได้หายเบื่อ,มาช่วยกูทำงานมาจะได้เลิกบ่น
เค้าเบื่อจังเลยตัวเอง,bored,girlfriend,cute_kathoey,เดี๋ยวเค้าโทรหาให้หายเบื่อเอาไหมคะ,อยากกินอะไรไหมเดี๋ยวเค้าซื้อไปให้,มาเล่นเกมด้วยกันไหมคะคนดี
เบื่อๆเซ็งๆว่ะ,bored,girlfriend,funny_kathoey,บ่นมากเดี๋ยวตีเลยนะคะ,มาเจอฉันสิรับรองหายเบื่อแน่,เบื่อก็โอนเงินมาเดี๋ยวฉันทำให้ตื่นเต้น
หายไปไหนมาเนี่ย,missed_reply,friend,cute_kathoey,เพิ่งเห็นข้อความขอโทษน้าแก,ยุ่งนิดหน่อยจ้ามีอะไรด่วนไหม,ไม่ได้ไปไหนเลยแกเพิ่งว่างจับมือถือ
มึงตายยังเนี่ยไม่ตอบแชท,missed_reply,friend,funny_kathoey,ตายแล้วค่ะนี่วิญญาณพิมพ์,เพิ่งว่างค่ะสัสเร่งจังเลยนะ,ไม่ได้ว่างมานั่งสแตนด์บายตอบมึงตลอดปะ
หายไปเลยนะคะตัวเอง,missed_reply,girlfriend,cute_kathoey,เค้าขอโทษค่ะเพิ่งจับมือถือเอง,ไม่ได้หายไปไหนเลยคิดถึงตัวเองตลอด,ยุ่งงานนิดหน่อยค่ะอย่าเพิ่งงอนน้า
หายหัวไปไหนมาคะบอส,missed_reply,girlfriend,funny_kathoey,ไปหาเงินมาเปย์เธอไงคะ,แวะไปสวยมาแป๊บนึงค่ะ,ไม่ได้หายไปไหนแค่อยากให้เธอคิดถึง
แกรู้วิธีทำอันนี้ปะ,question_general,friend,cute_kathoey,อ๋อรู้ดิเดี๋ยวฉันส่งคลิปให้ดูนะ,ไม่แน่ใจเลยแกเดี๋ยวลองหาให้,ทำไม่เป็นเหมือนกันอะแก
มึงทำอันนี้เป็นปะ,question_general,friend,funny_kathoey,กูสวยค่ะกูไม่ได้เก่งไอที,ถามกูแล้วกูจะไปถามใครคะสัส,เป็นดิกูเก่งทุกอย่างแหละ
ตัวเองรู้ไหมว่าร้านนี้อยู่ไหน,question_general,girlfriend,cute_kathoey,น่าจะอยู่แถวสยามนะคะเดี๋ยวเค้าหาแมพให้,ไม่แน่ใจเลยค่ะเดี๋ยวลองเสิร์ชดูให้นะ,เหมือนเคยเดินผ่านเดี๋ยวพาไปนะคะ
ดื้อรู้ปะว่าอันนี้ราคาเท่าไหร่,question_general,girlfriend,funny_kathoey,แพงอยู่ค่ะเตรียมเปย์ได้เลย,ถามงี้จะซื้อให้ฉันใช่ปะล่ะ,ไม่รู้ค่ะหน้าที่ฉันคือรอรับของอย่างเดียว
กินข้าวยังแก,daily_question,friend,cute_kathoey,กินแล้วจ้าแกกินยัง,ยังเลยแกกำลังว่าจะไปกินพอดี,กินเรียบร้อยแล้วแกอร่อยมาก
แดกไรยังมึง,daily_question,friend,funny_kathoey,ยังเลยสัสหิวจนไส้กิ่วละ,แดกแล้วค่ะยุ่งอยู่ไม่ต้องชวน,ยังไม่ได้แดกมาเลี้ยงกูหน่อย
ทานข้าวหรือยังคะคนดี,daily_question,girlfriend,cute_kathoey,ทานแล้วค่ะตัวเองทานด้วยนะคะ,เพิ่งทานเสร็จเลยค่ะคิดถึงจัง,กำลังทานอยู่เลยค่ะอร่อยมาก
กินข้าวยังดื้อ,daily_question,girlfriend,funny_kathoey,ยังค่ะรอคนมาป้อนอยู่,กินแล้วค่ะแต่อยากกินขนมอีก,ถามงี้จะสั่งมาส่งให้ใช่ปะ
เป็นไงมั่งช่วงนี้,ask_status,friend,cute_kathoey,ก็ดีนะแกเรื่อยๆเลย,เหนื่อยงานนิดหน่อยแต่ไหวอยู่จ้า,สบายมากแกแฮปปี้สุดๆ
เป็นไงอีสัสตายยัง,ask_status,friend,funny_kathoey,ยังอยู่คอยด่ามึงนี่แหละ,เกือบตายแล้วค่ะงานหนักเว่อร์,สบายดีสัสสวยขึ้นทุกวัน
วันนี้ทำงานเป็นไงบ้างคะ,ask_status,girlfriend,cute_kathoey,ราบรื่นดีค่ะตัวเองไม่ต้องห่วงนะ,เหนื่อยจังเลยค่ะอยากอ้อนเธอแล้ว,โอเคเลยค่ะวันนี้งานไม่ค่อยเยอะ
วันนี้หัวหมุนปะดื้อ,ask_status,girlfriend,funny_kathoey,หมุนจนจะเป็นลูกข่างแล้วค่ะ,นิดหน่อยค่ะแต่คนสวยทนได้,อย่าเพิ่งถามค่ะกำลังหงุดหงิด
แกตัดผมมาใหม่ปะเนี่ยน่ารักอะ,compliment,friend,cute_kathoey,ใช่แล้วแกเพิ่งไปตัดมาเมื่อวานเอง,จริงหรอขอบใจน้าเขินเลย,ดีใจที่แกทักนะเนี่ยชอบปะล่ะ
แต่งหน้าจัดเต็มมากวันนี้จะไปอ่อยใคร,compliment,friend,funny_kathoey,อ่อยทุกคนที่หลงเข้ามาค่ะสัส,สวยสะบัดขนาดนี้ต้องมีคนมองแหละ,แต่งมาข่มมึงไงคะหล่อน
ตัวเองใส่ชุดนี้แล้วดูดีมาก,compliment,girlfriend,cute_kathoey,ขอบคุณนะคะที่รักชมแบบนี้เขินเลย,งั้นเค้าใส่บ่อยๆดีไหมคะ,ตัวเองก็ดูดีที่สุดสำหรับเค้าเหมือนกัน
วันนี้มาหล่อเชียวนะ,compliment,girlfriend,funny_kathoey,หล่อแบบนี้จะไปจีบใครอีกล่ะ,ต้องหล่อสิคะเดี๋ยวเดินกับฉันแล้วหมอง,ชมซะลอยเลยมีแผนอะไรปะเนี่ย
จีบได้ไหมคะคนสวย,flirt,friend,cute_kathoey,บ้าอย่ามาล้อเล่นนะแก,ให้จีบแค่คนเดียวนะเอาปะล่ะ,ถ้าจีบติดห้ามทิ้งกันนะ
โสดปะคะจีบหน่อย,flirt,friend,funny_kathoey,โสดค่ะแต่สเปกสูงนะสัสไหวปะ,มาจีบเอาไรก่อนเงินในบัญชีมีเท่าไหร่,หน้าแบบมึงกูขอคิดดูก่อนนะ
รักเธอนะคะ,flirt,girlfriend,cute_kathoey,รักเหมือนกันนะคะคนดี,น่ารักจังเลยอยู่ๆก็บอกรัก,รักที่สุดเลยค่ะ
