text,intent,relationship,answer_mode,suggested_reply_1,suggested_reply_2,suggested_reply_3
คลั่งรักปะเนี่ยช่วงนี้,flirt,girlfriend,funny_kathoey,คลั่งรักเธอคนเดียวแหละรู้ยัง,ไม่ได้คลั่งแค่ยอมให้บงการเฉยๆ,ก็เธอทำตัวน่ารักให้หลงอะ
ไปคาเฟ่กันพรุ่งนี้,invite,friend,cute_kathoey,เอาดิแกอยากไปร้านไหนส่งมาเลย,ดีเลยแกกำลังอยากถ่ายรูปพอดี,ไปๆกี่โมงดีแก
คืนนี้ผับไหนดีสัส,invite,friend,funny_kathoey,ร้านเดิมสิคะรออะไร,จัดไปค่ะคืนนี้ต้องได้สุดเหวี่ยง,มารับกูด้วยนะห้ามเบี้ยว
พรุ่งนี้ไปเดินห้างกันไหมคะตัวเอง,invite,girlfriend,cute_kathoey,ไปสิคะเดี๋ยวเค้าไปรับนะ,ดีเลยค่ะเค้าอยากกินขนมพอดี,ได้เสมอเลยค่ะสำหรับตัวเอง
ไปทะเลปะดื้อ,invite,girlfriend,funny_kathoey,ไปดิแต่เธอจ่ายค่าที่พักนะ,จัดชุดว่ายน้ำรอแล้วเนี่ย,ถ้าไม่พาไปกินของอร่อยฉันไม่ไปนะ
ขอโทษนะแกที่ลืมนัด,apology,friend,cute_kathoey,ไม่เป็นไรเลยแกเอาไว้วันหลังก็ได้,ช่างมันเถอะแกรู้ว่ายุ่ง,โกรธนิดนึงแต่ให้อภัยจ้า
โทษทีสัสลืมสนิทเลย,apology,friend,funny_kathoey,มึงเคยจำอะไรได้บ้างคะหล่อน,ลืมเก่งขนาดนี้ตั้งใจเทกูปะเนี่ย,เลี้ยงหนมกูเลยสัสเพื่อไถ่ขมา
ขอโทษนะตัวเองที่ทำให้เป็นห่วง,apology,girlfriend,cute_kathoey,ไม่เป็นไรค่ะแค่นี้เองอย่าคิดมากนะ,โอ๋ๆเค้าไม่ได้ว่าอะไรเลยค่ะคนดี,ทีหลังอย่าทำอีกนะคะเค้าเป็นห่วงจริงนะ
โทษทีนะดื้อที่ตอบช้า,apology,girlfriend,funny_kathoey,ตอบช้าขนาดนี้ต้องมีของมาง้อละนะ,มัวแต่ไปทำอะไรอยู่ล่ะสิ,ให้อภัยก็ได้แต่ครั้งหน้าโดนบ่นแน่
หัวเสียเว้ยวันนี้,angry,friend,cute_kathoey,ใจเย็นๆนะแกมีอะไรเล่าให้ฉันฟังได้นะ,โกรธใครมาแกอย่าเพิ่งอารมณ์เสียเลย,มากอดๆแกเดี๋ยวก็ดีขึ้นน้า
แม่งเอ๊ยอยากด่าคน,angry,friend,funny_kathoey,ด่ามาเลยค่ะสัสฉันรอฟังอยู่,ใครทำมึงคะเดี๋ยวเจอกูแน่,เอาแชทมาดูเดี๋ยวกูช่วยด่าเอง
โกรธเค้าไหมคะตัวเอง,angry,girlfriend,cute_kathoey,ไม่ได้โกรธเลยค่ะแค่น้อยใจนิดหน่อย,ไม่โกรธหรอกค่ะเค้ารักตัวเองจะตาย,ถ้าบอกว่าโกรธจะง้อเค้าไหมคะ
อย่ามาพูดด้วยตอนนี้,angry,girlfriend,funny_kathoey,โอเคค่ะเดี๋ยวอีกสิบนาทีค่อยมาง้อใหม่นะ,งอนเก่งจังเลยนะคะเดี๋ยวหยิกเลย,รอให้อารมณ์ดีแล้วค่อยคุยก็ได้ค่ะ
จ้ะ,dry_reply,friend,cute_kathoey,ตอบสั้นเชียวยุ่งอยู่หรอแก,เป็นไรเปล่าแกบอกได้น้า,จ้ะแล้วก็เงียบเลยนะแก
อ่าหะ,dry_reply,friend,funny_kathoey,พิมพ์ยาวๆไม่เป็นหรอคะหล่อน,ตอบงี้กูไม่อ่านละนะบอกเลย,กวนตีนหรอคะสัส
อืมๆ,dry_reply,girlfriend,cute_kathoey,งอนเค้าหรอคะคนดีบอกได้นะ,เป็นอะไรคะเสียงดูไม่ค่อยดีเลย,เค้าทำอะไรให้ตัวเองไม่พอใจหรือเปล่าคะ
จบปะ,dry_reply,girlfriend,funny_kathoey,ไม่จบค่ะยังอยากเถียงต่อ,จบก็ได้ค่ะกลัวโดนบ่นละ,ยอมให้แค่วันนี้นะคะ
ท้อมากเลยแก,comfort,friend,cute_kathoey,สู้ๆนะแกฉันอยู่ตรงนี้เสมอ,แกเก่งอยู่แล้วต้องผ่านไปได้สิ,เดี๋ยวก็ผ่านไปนะแกกอดๆ
เหนื่อยฉิบหายเลยว่ะ,comfort,friend,funny_kathoey,พักบ้างคะสัสเงินไม่ได้หาได้ในวันเดียว,บ่นไปก็เท่านั้นลุกขึ้นมาสู้ต่อค่ะหล่อน,มาหาของอร่อยกินมาจะได้ลืมๆ
เค้าเหนื่อยจังเลยค่ะ,comfort,girlfriend,cute_kathoey,กอดนะคะคนเก่งเดี๋ยวก็ดีขึ้นแล้ว,โอ๋ๆนะคะมาซบอกเค้ามา,เหนื่อยก็พักก่อนนะคะพรุ่งนี้ค่อยว่ากันใหม่
ไม่ไหวแล้วดื้อ,comfort,girlfriend,funny_kathoey,มานี่มาเดี๋ยวฉันนวดให้,บ่นเก่งจังเลยนะคะแต่ก็ยังน่ารัก,ไม่ไหวก็ต้องไหวค่ะรีบฮึบเลย
กูไปนอนละนะ,goodnight,friend,cute_kathoey,ฝันดีน้าแกพรุ่งนี้เจอกัน,กู๊ดไนท์จ้าพักผ่อนเยอะๆนะ,นอนหลับฝันดีนะแก
ฝันดีสัส,goodnight,friend,funny_kathoey,เออฝันร้ายนะมึง,ไปนอนไปรำคาญละ,อย่าลืมสวดมนต์นะผีจะได้ไม่หลอก
นอนแล้วนะคะคนดี,goodnight,girlfriend,cute_kathoey,ฝันดีนะคะที่รักของเค้า,จุ๊บก่อนนอนนะคะฝันถึงเค้าด้วย,นอนห่มผ้าด้วยนะคะเป็นห่วง
ไปนอนละนะดื้อ,goodnight,girlfriend,funny_kathoey,ฝันดีค่ะอย่าฝันถึงใครนอกจากฉันนะ,ไปนอนเลยไปเดี๋ยวฉันไปดูซีรีส์ต่อ,นอนไวๆพรุ่งนี้จะได้ตื่นมารับฉัน
งงงง,unknown,friend,cute_kathoey,แกพิมพ์อะไรมาเนี่ยฉันงง,ภาษาอะไรของแกเนี่ย,มือลั่นหรอแก
ฟหกด,unknown,friend,funny_kathoey,เมาหรอสัสพิมพ์เหี้ยไรมา,ตั้งสติก่อนพิมพ์ค่ะหล่อน,แมวเดินผ่านคีย์บอร์ดหรอคะ
อะไรงง,unknown,girlfriend,cute_kathoey,เค้าพิมพ์ผิดเองขอโทษน้า,ไม่มีอะไรค่ะตัวเองเค้ามึนเอง,ลืมๆมันไปเถอะค่ะคนดี
ไรวะเนี่ย,unknown,girlfriend,funny_kathoey,บ่นอะไรคะคนดื้อ,บ่นไปงั้นแหละไม่มีไรหรอก,สนใจฉันหน่อยฉันเรียกร้องความสนใจอยู่
ลูกค้าเรื่องเยอะมากด่าได้ไหม,venting,friend,cute_kathoey,ใจเย็นแกเราต้องทนเพื่อเงิน,ด่าในใจพอนะแกเดี๋ยวเป็นเรื่อง,สู้ๆนะแกเดี๋ยวก็เลิกงานแล้ว
อีเจ้านายแม่งประสาทแดกอีกล่ะ,venting,friend,funny_kathoey,ด่ามันเลยสัสอย่าไปกลัว,ทุบโต๊ะเลยค่ะหล่อนฉันรอเชียร์อยู่,มึงก็ทำตัวประสาทแดกใส่กลับไปเลยสิคะ
วันนี้รถติดมากหงุดหงิดเลย,venting,girlfriend,cute_kathoey,ใจเย็นๆนะคะตัวเองเปิดเพลงฟังสบายๆนะ,ถึงบ้านแล้วรีบพักผ่อนนะคะคนดี,เดี๋ยวเค้าโทรไปคุยเป็นเพื่อนนะจะได้ไม่เบื่อ
แม่งเอ๊ยงานเข้าอีกแล้ว,venting,girlfriend,funny_kathoey,บ่นไปก็ต้องทำอยู่ดีแหละค่ะ,รีบเคลียร์งานแล้วมาหาฉันได้แล้ว,สู้ๆค่ะทำให้เสร็จจะได้พาฉันไปเที่ยว
ฉันเพิ่งดูซีรีส์เรื่องนี้จบสนุกมาก,sharing,friend,cute_kathoey,จริงหรอเดี๋ยวฉันไปดูตามบ้าง,พระเอกหล่อไหมแกบอกมาเดี๋ยวนี้,มารีวิวให้ฟังหน่อยแกฉันหาอะไรดูอยู่พอดี
มึงกูได้กระเป๋าใบใหม่มาสวยสัส,sharing,friend,funny_kathoey,รวยจังนะคะอีหล่อนแบ่งมาบ้าง,สวยจริงแต่มึงจะสะพายไปอวดใครคะ,ระวังเงินหมดก่อนสิ้นเดือนนะสัส
เค้าทำกับข้าวสูตรใหม่มาอร่อยมาก,sharing,girlfriend,cute_kathoey,เก่งจังเลยค่ะเดี๋ยววันหลังต้องทำให้เค้ากินบ้างนะ,น่ากินจังเลยค่ะตัวเองเก่งที่สุด,เห็นรูปแล้วหิวเลยค่ะคนดี
ไปเจอเสื้อตัวนี้มาสวยปะ,sharing,girlfriend,funny_kathoey,สวยค่ะซื้อให้ฉันใช่ปะ,ใส่แล้วจะดูดีเหมือนฉันปะเนี่ย,สวยดีค่ะแต่อย่าซื้อเยอะเดี๋ยวไม่มีเงินพาฉันเที่ยว
ใครกดเลิฟรูปแกอะ,jealous,friend,cute_kathoey,เพื่อนมหาลัยแกไม่มีอะไรหรอก,งุ้ยหวงเพื่อนหรอเนี่ย,แซวเล่นปะเนี่ยฉันไม่ได้คิดอะไรเลย
มองใครคะอีสัสเดี๋ยวตาเหล่,jealous,friend,funny_kathoey,มองคนหน้าตาดีสิคะผิดตรงไหน,หึงกูหรอคะหล่อนหลงตัวเองสุด,มองไปงั้นแหละไม่มีใครสู้มึงได้หรอก
คนนั้นใครหรอคะที่ทักมา,jealous,girlfriend,cute_kathoey,รุ่นน้องที่ทำงานค่ะตัวเองไม่ต้องคิดมากนะ,หึงเค้าหรอคะน่ารักจังเลย,เค้ามีตัวเองคนเดียวแหละไม่ต้องห่วงนะคะ
คุยกับใครยิ้มเชียวนะ,jealous,girlfriend,funny_kathoey,คุยกับเพื่อนค่ะอย่าเพิ่งคิดไปไกล,ยิ้มให้แชทเธอไงคะบ้าหรอ,หวงก็บอกมาตรงๆเถอะค่ะดื้อ
ตื่นแล้วหรอแกสายเลยนะ,morning,friend,cute_kathoey,เพิ่งตื่นจ้าเมื่อคืนนอนดึกไปหน่อย,ตื่นนานแล้วแต่เพิ่งจับมือถือแก,มอนิ่งแกวันนี้มีแพลนไปไหนปะ
ตื่นได้แล้วสัสตะวันแยงตูดละ,morning,friend,funny_kathoey,รู้แล้วค่ะอีผีบ่นแต่เช้าเลยนะ,ขอนอนต่ออีกห้านาทีนะสัส,ตื่นมาสวยรับวันใหม่แล้วค่ะหล่อน
หิวขนมหวานอะ,sharing,girlfriend,cute_kathoey,เดี๋ยวเค้าซื้อเค้กไปฝากนะคะ,ไปกินบิงซูกันไหมคะคนดี,อยากกินอะไรบอกมาเลยค่าเดี๋ยวพาไป
วันนี้แต่งหน้าไม่ติดเลย,venting,friend,funny_kathoey,หน้าด้านขนาดนี้ยังไม่ติดอีกเหรอสัส,เทามาแต่ไกลเลยหล่อน,โบกเข้าไปค่ะตัวแม่เดี๋ยวก็ติด
เหงาจังหาคนคุย,bored,friend,cute_kathoey,ทักมาได้ตลอดเลยนะแก,เหงาก็มาหาเรานี่มาหล่อน,โทรคุยกันไหมแกจะได้หายเหงา
โทษทีว่ะลืมสนิทเลย,apology,friend,funny_kathoey,สมองปลาทองมากสัส,เลี้ยงเหล้าเลยหล่อนเพื่อเป็นการไถ่โทษ,ไม่เป็นไรสัสกูชินละ
ทำไมช่วงนี้ดูโทรมจังวะ,question_general,friend,funny_kathoey,สาระแนนะหล่อน,ทำงานหนักสัสไม่ได้นั่งสวยไปวันๆ,โทรมแต่ยังมีผัวนะคะตัวแม่
อรุณสวัสดิ์ค่า,morning,girlfriend,cute_kathoey,อรุณสวัสดิ์นะคะคนเก่ง,ตื่นมาก็เจอข้อความเธอเลยใจฟู,เช้านี้สดใสจังเลยนะคะรักษาสุขภาพด้วย
โสดโว้ยจีบได้,sharing,friend,funny_kathoey,ประกาศเพื่อใครสัสไม่มีใครเอาหรอก,มั่นหน้ามากหล่อนผู้ชายหนีหมด,โปรโมทตัวเองสุดๆค่ะตัวแม่
เมื่อคืนหลับสบายไหม,daily_question,girlfriend,cute_kathoey,หลับสบายมากเลยค่ะคนดี,ฝันถึงเธอด้วยแหละตื่นมายิ้มเลย,สบายมากค่าแล้วตัวเองล่ะคะนอนเต็มอิ่มไหม
งานเยอะจนไม่ได้พักเลย,venting,girlfriend,cute_kathoey,โอ๋ๆคนเก่งของเค้าสู้ๆนะคะ,พักกินน้ำกินขนมบ้างน้าเป็นห่วง,เลิกงานเดี๋ยวไปนวดให้นะคะคนดี
คืนนี้เจอกันที่เดิมนะ,invite,friend,funny_kathoey,จัดไปสัสอย่าเบี้ยวนะ,เมาไม่กลับค่ะตัวแม่,เตรียมตัวเต้นยับเลยหล่อนใส่สุดแน่
สวยปะชุดนี้,ask_status,friend,cute_kathoey,สวยมากแกเหมาะสุดๆ,ปังมากหล่อนซื้อเลยอย่าลังเล,จึ้งมากแกใส่ไปเดทได้เลยรับรองเริ่ด
ดีใจด้วยนะที่ได้งานใหม่,compliment,friend,cute_kathoey,ขอบใจมากนะแกดีใจเหมือนกัน,ขอบคุณนะหล่อนมีโอกาสต้องฉลองละ,ว่างๆไปกินข้าวกันนะแกเลี้ยงเอง
ยุ่งป่าวคุยได้ไหม,ask_status,girlfriend,cute_kathoey,คุยได้เสมอเลยค่าคนดี,ว่างคุยกับเธอตลอดแหละคิดถึงอยู่พอดี,มีอะไรหรือเปล่าคะเล่ามาได้เลยรับฟังเสมอ
งอนแล้วนะไม่ทักมาเลย,jealous,girlfriend,cute_kathoey,โอ๋ๆเค้าขอโทษนะคะคนดี,ยุ่งนิดหน่อยเองอย่างอนน้ารักจะตาย,มาให้จุ๊บง้อเดี๋ยวนี้เลยนะคะคนเก่ง
ทำไมมึงโง่จังวะ,angry,friend,funny_kathoey,ด่ากูมึงฉลาดมากมั้งสัส,เบาได้เบาค่ะหล่อนด่าซะเสียเลย,ผิดนิดหน่อยทำเป็นวีนนะตัวแม่
ปวดหัวกินยาแป๊บ,sharing,girlfriend,cute_kathoey,หายไวๆนะคะคนเก่งของเค้า,พักผ่อนเยอะๆน้าเป็นห่วงมากเลย,ให้เค้าไปดูแลไหมคะเดี๋ยวซื้อโจ๊กไปให้
เกลียดแม่งว่ะ,venting,friend,funny_kathoey,จัดเลยไหมสัสเดี๋ยวช่วยด่า,ปล่อยมันไปเถอะหล่อนรกสมองเปล่าๆ,ใจเย็นค่ะตัวแม่อย่าลดตัวไปยุ่งกับคนแบบนั้น
คืนนี้ฝันดีน้า,goodnight,friend,cute_kathoey,ฝันดีจ้าแกพรุ่งนี้ตื่นมาสดใสนะ,รีบนอนเลยหล่อนดูแลสุขภาพด้วย,ฝันหวานน้าแกเจอกันพรุ่งนี้จ้า
เออเข้าใจละ,dry_reply,friend,funny_kathoey,เข้าใจแล้วก็ทำตัวดีๆสัสอย่าดื้อ,พิมพ์สั้นจังขี้เกียจพิมพ์อ่อหล่อน,รับทราบค่ะตัวแม่ขอให้จำให้ได้เถอะ
ทำไมชีวิตมันแย่แบบนี้,venting,friend,cute_kathoey,กอดแน่นๆนะแกเดี๋ยวเรื่องร้ายๆก็ผ่านไป,ร้องไห้กับเราได้นะหล่อนอย่าเก็บไว้คนเดียว,สู้ๆนะแกเราอยู่ข้างๆเสมอทักมาได้ตลอด
แอบชอบคนนึงทำไงดี,question_general,friend,cute_kathoey,ลุยเลยแกอย่าช้ามั่นใจหน่อย,ทักไปคุยเลยหล่อนสู้ๆเราเป็นกำลังใจให้,เอาใจช่วยนะแกขอให้สมหวังลุยให้สุด
ไม่อยากตื่นเลยง่วงมาก,morning,girlfriend,funny_kathoey,ลุกเดี๋ยวนี้ค่ะตัวเองสายแล้วเดี๋ยวโดนตี,ขี้เซาจังนะคะคนดีไปล้างหน้าเร็ว,ตื่นมาคุยกับเค้าก่อนสิคะอย่าเพิ่งหลับต่อ
รักเธอนะคะ,flirt,girlfriend,cute_kathoey,รักเหมือนกันค่าคนดีที่สุดในโลกเลย,น่ารักจังเลยแพ้คำนี้สุดๆเขินแล้วเนี่ย,บอกรักบ่อยแบบนี้หลงแย่เลยนะคะตัวเอง
ไปดูคอนเสิร์ตกันไหม,invite,girlfriend,cute_kathoey,ไปสิคะอยากดูพอดีเลยจองตั๋วด่วน,น่าสนมากค่ะจัดคิวเลยเค้าพร้อมเสมอ,ไปเต้นให้สุดเหวี่ยงด้วยกันเลยนะคะคนดี
ไม่กวนละไปทำงานเถอะ,busy,girlfriend,cute_kathoey,ขอบคุณนะคะเดี๋ยวทำงานเสร็จรีบทักหาน้า,น่ารักที่สุดเลยคนนี้เข้าใจเค้าเสมอ,ตั้งใจทำงานเหมือนกันนะคะสู้ๆค่า
ขอโทษนะที่มาช้า,apology,friend,cute_kathoey,ไม่เป็นไรแกเรารอได้ชิลๆ,รีบมาเลยหล่อนสั่งอาหารรอแล้วหิวมาก,ค่อยๆเดินทางนะแกไม่ต้องรีบเดี๋ยวเกิดอุบัติเหตุ
แซ่บปะล่ะ,question_general,friend,funny_kathoey,แซ่บสัสพริกสิบเม็ดต้องยอม,ปังมากค่ะตัวแม่ยอมเลยสวยกินคน,สุดจัดปลัดบอกเลยหล่อนเดินสับๆไปเลย
ทำไมถึงชอบเราอะ,flirt,girlfriend,cute_kathoey,ก็เธอน่ารักขนาดนี้ไงคะใครจะทนไหว,ชอบทุกอย่างที่เป็นเธอเลยค่ารักไปหมด,ต้องมีเหตุผลด้วยเหรอคะคนดีรักก็คือรักไง
เลิกคุยกันเหอะ,angry,friend,funny_kathoey,เออไปเลยสัสไม่ง้อโว้ยเชิดใส่,ดราม่าอีกละหล่อนเดี๋ยวพรุ่งนี้ก็ทักมาใหม่,เชิญค่ะตัวแม่ตามสบายทางสว่างอยู่ข้างหน้า
หิวตอนดึกทำไงดี,daily_question,friend,funny_kathoey,ต้มมาม่าเลยสัสรอไรวงการนี้เข้าแล้วออกยาก,อดทนค่ะหล่อนเดี๋ยวอ้วนใส่ชุดไม่สวยนะ,หาคนเลี้ยงข้าวสิคะตัวแม่ทักผู้ชายด่วน
วันนี้เธอเก่งมากเลยนะ,compliment,girlfriend,cute_kathoey,ขอบคุณนะคะกำลังใจสำคัญของเค้าเลย,หายเหนื่อยเป็นปลิดทิ้งเลยค่าภูมิใจสุดๆ,เพราะมีเธอคอยเชียร์อยู่ข้างๆไงคะ
ไม่ชอบเพื่อนเธอเลย,jealous,girlfriend,funny_kathoey,หึงหรอคะตัวเองไม่ต้องคิดมากน้าเพื่อนกันจริงๆ,เพื่อนก็คือเพื่อนค่ะตัวแม่แฟนคือยืนหนึ่ง,สนใจแค่เค้าก็พอนะคะคนดีอย่าไปสนใจคนอื่น
ไปกินหมูกระทะกัน,invite,friend,cute_kathoey,เอาดิแกหิวพอดีเลยร้านไหนว่ามา,นัดมาเลยหล่อนพร้อมมากท้องร้องแล้วเนี่ย,เย็นนี้เจอกันเลยจ้าเดี๋ยวเราจองโต๊ะให้
ช่วงนี้ดูเหนื่อยๆนะ,ask_status,girlfriend,cute_kathoey,เหนื่อยนิดหน่อยค่ะแต่เห็นหน้าเธอก็หายแล้ว,ขอกอดชาร์จพลังหน่อยสิคะคนดีจะขอบคุณมาก,ทำงานเยอะไปนิดค่าขอบคุณที่เป็นห่วงน้า
อากาศร้อนโครต,sharing,friend,funny_kathoey,ร้อนเหี้ยๆสัสละลายหมดละพระอาทิตย์โกรธใคร,นึกว่าเดินอยู่ในเตาอบค่ะหล่อนสุกกำลังดี,ต้องจัดบิงซูแล้วไหมตัวแม่ดับร้อนหน่อย
ขอบคุณสำหรับทุกอย่างนะ,thanks,girlfriend,cute_kathoey,ยินดีเสมอค่าคนเก่งของเค้ารักที่สุด,รักนะคะดูแลกันไปนานๆน้าจับมือกันไว้,เค้าเต็มใจทำให้เธอทุกอย่างเลยค่ะคนดี
เห็นด้วยร้อยเปอร์เซ็นต์,agree,friend,cute_kathoey,ใช่ไหมแกตามนั้นเลยความคิดเริ่ด,ความเห็นตรงกันสุดๆหล่อนต้องจัดละ,เริ่ดมากแกไปลุยกันเลยตามแผนนี้เป๊ะๆ
ไม่น่าเวิร์คว่ะแบบนี้,disagree,friend,funny_kathoey,จริงสัสดูทรงแล้วพังแน่เปลี่ยนด่วน,เปลี่ยนแผนเลยหล่อนขืนทำไปมีหวังเละ,คิดงั้นเหมือนกันค่ะตัวแม่ไม่รอดชัวร์พับโปรเจกต์
อืมรู้ละ,dry_reply,girlfriend,funny_kathoey,รู้แล้วก็ยิ้มหน่อยสิคะคนดีหน้าบูดเชียว,พิมพ์สั้นจังโกรธเค้าป่าวเนี่ยใจคอไม่ดีเลย,ตอบแค่นี้เดี๋ยวโดนฟาดนะคะตัวเองขอเสียงหน่อย
สอบเสร็จแล้วโว้ย,sharing,friend,cute_kathoey,เก่งมากแกไปฉลองกันเถอะร้านไหนดี,ปลดล็อกสกินทองเลยหล่อนพักผ่อนให้เต็มที่นะ,คืนนี้ต้องจัดชุดใหญ่แล้วแกฉลองความเก่ง
เธอมีใครในใจยัง,flirt,friend,funny_kathoey,มีแต่มึงนี่แหละสัสบ้าปะเนี่ยถามแปลกๆ,ถามทำไมหล่อนจะจีบหรอเตรียมของหมั้นมาเลย,มีแต่เงินในใจค่ะตัวแม่ความรักพักก่อน
ฝันดีผีรอบเตียงนะมึง,goodnight,friend,funny_kathoey,ปากหมาสัสไปนอนเลยไปเดี๋ยวแม่ตบคว่ำ,ขอให้ผีไปหลอกมึงก่อนเลยหล่อนคืนนี้โดนแน่,สวดมนต์แป๊บค่ะตัวแม่กลัวจริงพูดเป็นเล่นไป
ตื่นยังเนี่ยสายแล้วนะ,morning,girlfriend,cute_kathoey,ตื่นแล้วค่าคนดีกำลังลุกเลยค่ะรอแป๊บนึงน้า,ขี้เกียจลุกจังขอกอดหน่อยสิคะจะได้มีแรง,มอนิ่งนะคะตื่นปุ๊บก็ทักปั๊บเลยน่ารักที่สุด
รู้สึกเหมือนไม่เหลือใคร,venting,girlfriend,cute_kathoey,เค้ายังอยู่ตรงนี้นะคะกอดๆไม่เอาไม่เศร้าน้า,ไม่คิดมากน้าคนดีเค้ารักเธอนะอยู่ข้างๆเสมอ,ร้องไห้กับเค้าได้เลยนะคะพร้อมรับฟังตลอดเวลา
หงุดหงิดโว้ยทำไรก็ผิด,angry,friend,cute_kathoey,ใจเย็นๆนะแกเดี๋ยวเลี้ยงน้ำปั่นอารมณ์จะได้ดีขึ้น,ค่อยๆคิดนะหล่อนอย่าเพิ่งวีนเดี๋ยวหน้าแก่นะ,มานั่งพักก่อนแกเราอยู่เป็นเพื่อนใจร่มๆไว้
เธอว่าชุดไหนสวยกว่ากัน,ask_status,girlfriend,cute_kathoey,สวยทั้งสองชุดเลยค่ะคนดีเลือกยากจังสวยกินกันไม่ลง,เธอใส่ชุดไหนก็สวยน่ารักไปหมดใส่อะไรก็รอด,ชุดแรกก็ดูดีชุดสองก็หวานเข้ากับเธอมากเชียร์ชุดแรกละกัน
ยุ่งอยู่แค่นี้ก่อนนะ,busy,friend,cute_kathoey,โอเคแกสู้ๆนะไว้ค่อยคุยกันใหม่,ตั้งใจทำงานจ้าหล่อนอย่าหักโหมมากนะ,ว่างแล้วทักมาน้าแกเดี๋ยวรอคุยด้วย
เหงาจังมาหาหน่อยดิ,invite,friend,funny_kathoey,จ่ายค่ารถมาสัสเดี๋ยวไปเลยอย่าช้านะ,เลี้ยงข้าวด้วยนะหล่อนเดี๋ยวพุ่งไปหาอย่างไว,เหงาเหมือนกันรอแป๊บตัวแม่กำลังไปแต่งหน้าก่อน
ทำไมเธอใจดีจัง,compliment,friend,cute_kathoey,ก็เราเป็นคนสวยใจดีไงแกนางฟ้าเดินดินชัดๆ,กับแกเราใจดีเสมอแหละหล่อนเพื่อนรักทั้งที,น่ารักขนาดนี้ต้องใจดีด้วยสิคะชมอีกสิชอบ
หายงอนยังเนี่ย,ask_status,girlfriend,funny_kathoey,ยังค่ะต้องซื้อขนมมาง้อด้วยถึงจะยอมใจอ่อน,เกือบหายละค่ะถ้าพาไปกินของอร่อยจะหายขาดเลย,มาง้อแบบนี้ใจอ่อนเลยค่ะตัวเองทีหลังอย่าทำอีกน้า
เพิ่งเห็นข้อความขอโทษน้า,missed_reply,friend,cute_kathoey,ไม่เป็นไรจ้าแกเราเพิ่งว่างเหมือนกัน,นึกว่าลืมกันไปแล้วนะเนี่ยหล่อน,ไม่ว่ากันจ้าแกมีอะไรทักมาได้ตลอดเลย
อ้าวหรอ,dry_reply,friend,funny_kathoey,พิมพ์ยาวกว่านี้ไม่ได้หรอสัส,อ้าวหรอพ่องพิมพ์ให้มันดีๆหล่อน,สั้นไปมั้งตัวแม่กลัวนิ้วล็อคหรอ
วันนี้เก่งมากเลยภูมิใจสุดๆ,compliment,girlfriend,funny_kathoey,แน่นอนค่ะระดับตัวมารดาแล้ว,เก่งแล้วรักปะล่ะตัวเอง,โอนเงินมาให้เป็นรางวัลเลยค่ะคนดี
ไปกับคนอื่นไม่ชวนเลยนะ,jealous,friend,cute_kathoey,โอ๋ๆคราวหน้าเดี๋ยวพาไปนะแก,งอนหรอหล่อนเดี๋ยวซื้อขนมไปฝาก,ไม่ได้ตั้งใจทิ้งน้าแกเดี๋ยวชดใช้ให้
ทำไรอยู่อะตัวเอง,daily_question,girlfriend,funny_kathoey,หายใจอยู่ค่ะถามแปลกๆ,นั่งเป็นคนสวยให้เธอหลงอยู่ไงคะ,เพิ่งว่างเลยค่ะหาคนเลี้ยงข้าวพอดี
